account,total_pnl,total_volume,total_trades,active_days,win_days,avg_buy_ratio,contrarian_days,avg_fg_value,win_rate,pnl_per_trade,contrarian_rate,trader_tier
0x513b8629fe877bb581bf244e326a047b249c4ff1,763997.91232431,420876556.36,12236,39,21,0.6182948717948719,14,44.8974358974359,0.5385,62.4385,0.359,Profitable
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108544.3806950676,728057.51,975,47,27,0.4804340425531915,20,51.08510638297872,0.5745,111.3276,0.4255,Break-even
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,427804.1286487099,11474500.92,1590,19,4,0.42290526315789473,8,44.89473684210526,0.2105,269.0592,0.4211,Profitable
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360258.01118484,2962475.47,1424,65,16,0.3721030769230769,45,55.49230769230769,0.2462,252.9902,0.6923,Profitable
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,376500.14756932,25729497.24,9893,146,132,0.47542123287671234,53,61.60958904109589,0.9041,38.0572,0.363,Profitable
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14120.22614404,5844484.45,1559,26,16,0.5243384615384615,7,56.34615384615385,0.6154,9.0572,0.2692,Losing
0x8170715b3b381dffb7062c0298972d4727a0a63b,-169200.51023292,10143758.13,4601,92,39,0.3798630434782609,37,45.858695652173914,0.4239,-36.7747,0.4022,Losing
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,62128.77568741999,11999173.370000001,1911,54,21,0.7620685185185185,7,60.27777777777778,0.3889,32.5111,0.1296,Losing
0x8477e447846c758f5a675856001ea72298fd9cb5,40124.46588053,12304786.84,14998,174,131,0.4219586206896552,69,56.87356321839081,0.7529,2.6753,0.3966,Losing
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,123756.98333474,10992355.74,3052,18,7,0.7140277777777777,8,59.44444444444444,0.3889,40.5495,0.4444,Break-even
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,104014.9198228958,19868207.98,15605,64,46,0.7112140625,14,55.609375,0.7188,6.6655,0.2188,Break-even
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72656.54626749,861809.4,417,37,16,0.3128297297297297,19,56.729729729729726,0.4324,174.2363,0.5135,Break-even
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67296.89026639001,1677425.7200000002,563,15,7,0.6348066666666666,9,45.666666666666664,0.4667,119.5327,0.6,Break-even
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21217.0861435536,4448323.26,534,20,11,0.628085,11,46.15,0.55,39.7324,0.55,Losing
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2127387.27943718,56543565.23,14733,256,120,0.493190625,102,57.21484375,0.4688,144.3961,0.3984,Profitable
0xb899e522b5715391ae1d4f137653e7906c5e2115,-6154.672893999999,108877041.1,4838,35,26,0.4705542857142857,6,31.285714285714285,0.7429,-1.2722,0.1714,Losing
0xbaaaf6571ab7d571043ff1e313a9609a10637864,931567.100553781,68036340.24,21192,28,21,0.5247892857142857,14,34.642857142857146,0.75,43.9584,0.5,Profitable
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,215745.96336857002,20737391.71,2641,67,18,0.3597268656716418,35,49.61194029850746,0.2687,81.691,0.5224,Break-even
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,822727.65336805,74107810.44,40184,131,104,0.5021534351145038,33,50.55725190839695,0.7939,20.474,0.2519,Profitable
