timestamp,value,classification,date
1522387800,12,Extreme Fear,2018-03-30
1522474200,16,Extreme Fear,2018-03-31
1522560600,16,Extreme Fear,2018-04-01
1522647000,11,Extreme Fear,2018-04-02
1522733400,22,Extreme Fear,2018-04-03
1522819800,22,Extreme Fear,2018-04-04
1522906200,17,Extreme Fear,2018-04-05
1522992600,19,Extreme Fear,2018-04-06
1523079000,20,Extreme Fear,2018-04-07
1523165400,17,Extreme Fear,2018-04-08
1523251800,21,Extreme Fear,2018-04-09
1523338200,18,Extreme Fear,2018-04-10
1523424600,20,Extreme Fear,2018-04-11
1523511000,18,Extreme Fear,2018-04-12
1523597400,23,Extreme Fear,2018-04-13
1523943000,26,Fear,2018-04-17
1524029400,24,Extreme Fear,2018-04-18
1524115800,25,Fear,2018-04-19
1524202200,26,Fear,2018-04-20
1524288600,32,Fear,2018-04-21
1524375000,31,Fear,2018-04-22
1524461400,28,Fear,2018-04-23
1524547800,29,Fear,2018-04-24
1524634200,64,Greed,2018-04-25
1524720600,47,Neutral,2018-04-26
1524807000,55,Greed,2018-04-27
1524893400,54,Neutral,2018-04-28
1524979800,61,Greed,2018-04-29
1525066200,59,Greed,2018-04-30
1525152600,56,Greed,2018-05-01
1525239000,52,Neutral,2018-05-02
1525325400,55,Greed,2018-05-03
1525411800,56,Greed,2018-05-04
1525498200,63,Greed,2018-05-05
1525584600,67,Greed,2018-05-06
1525671000,56,Greed,2018-05-07
1525757400,62,Greed,2018-05-08
1525843800,53,Neutral,2018-05-09
1525930200,63,Greed,2018-05-10
1526016600,41,Fear,2018-05-11
1526103000,44,Fear,2018-05-12
1526189400,40,Fear,2018-05-13
1526275800,40,Fear,2018-05-14
1526362200,40,Fear,2018-05-15
1526448600,32,Fear,2018-05-16
1526535000,31,Fear,2018-05-17
1526621400,37,Fear,2018-05-18
1526707800,31,Fear,2018-05-19
1526794200,32,Fear,2018-05-20
1526880600,41,Fear,2018-05-21
1526967000,30,Fear,2018-05-22
1527053400,26,Fear,2018-05-23
1527139800,27,Fear,2018-05-24
1527226200,25,Fear,2018-05-25
1527312600,23,Extreme Fear,2018-05-26
1527399000,19,Extreme Fear,2018-05-27
1527485400,22,Extreme Fear,2018-05-28
1527571800,16,Extreme Fear,2018-05-29
1527658200,38,Fear,2018-05-30
1527744600,25,Fear,2018-05-31
1527831000,24,Extreme Fear,2018-06-01
1527917400,27,Fear,2018-06-02
1528003800,40,Fear,2018-06-03
1528090200,41,Fear,2018-06-04
1528176600,26,Fear,2018-06-05
1528263000,42,Fear,2018-06-06
1528349400,38,Fear,2018-06-07
1528435800,40,Fear,2018-06-08
1528522200,39,Fear,2018-06-09
1528608600,24,Extreme Fear,2018-06-10
1528695000,15,Extreme Fear,2018-06-11
1528781400,19,Extreme Fear,2018-06-12
1528867800,19,Extreme Fear,2018-06-13
1528954200,17,Extreme Fear,2018-06-14
1529040600,26,Fear,2018-06-15
1529127000,22,Extreme Fear,2018-06-16
1529213400,23,Extreme Fear,2018-06-17
1529299800,27,Fear,2018-06-18
1529386200,32,Fear,2018-06-19
1529472600,34,Fear,2018-06-20
1529559000,37,Fear,2018-06-21
1529645400,28,Fear,2018-06-22
1529731800,17,Extreme Fear,2018-06-23
1529818200,15,Extreme Fear,2018-06-24
1529904600,16,Extreme Fear,2018-06-25
1529991000,21,Extreme Fear,2018-06-26
1530077400,18,Extreme Fear,2018-06-27
1530163800,20,Extreme Fear,2018-06-28
1530250200,16,Extreme Fear,2018-06-29
1530336600,22,Extreme Fear,2018-06-30
1530423000,27,Fear,2018-07-01
1530509400,27,Fear,2018-07-02
1530595800,31,Fear,2018-07-03
1530682200,33,Fear,2018-07-04
1530768600,37,Fear,2018-07-05
1530855000,34,Fear,2018-07-06
1530941400,34,Fear,2018-07-07
1531027800,38,Fear,2018-07-08
1531114200,39,Fear,2018-07-09
1531200600,37,Fear,2018-07-10
1531287000,29,Fear,2018-07-11
1531373400,33,Fear,2018-07-12
1531459800,29,Fear,2018-07-13
1531546200,29,Fear,2018-07-14
1531632600,32,Fear,2018-07-15
1531719000,36,Fear,2018-07-16
1531805400,39,Fear,2018-07-17
1531891800,42,Fear,2018-07-18
1531978200,44,Fear,2018-07-19
1532064600,47,Neutral,2018-07-20
1532151000,43,Fear,2018-07-21
1532237400,46,Neutral,2018-07-22
1532323800,44,Fear,2018-07-23
1532410200,49,Neutral,2018-07-24
1532496600,54,Neutral,2018-07-25
1532583000,53,Neutral,2018-07-26
1532669400,47,Neutral,2018-07-27
1532755800,54,Neutral,2018-07-28
1532842200,54,Neutral,2018-07-29
1532928600,53,Neutral,2018-07-30
1533015000,48,Neutral,2018-07-31
1533101400,39,Fear,2018-08-01
1533187800,39,Fear,2018-08-02
1533274200,36,Fear,2018-08-03
1533360600,31,Fear,2018-08-04
1533447000,23,Extreme Fear,2018-08-05
1533533400,25,Fear,2018-08-06
1533619800,25,Fear,2018-08-07
1533706200,23,Extreme Fear,2018-08-08
1533792600,19,Extreme Fear,2018-08-09
1533879000,21,Extreme Fear,2018-08-10
1533965400,18,Extreme Fear,2018-08-11
1534051800,18,Extreme Fear,2018-08-12
1534138200,21,Extreme Fear,2018-08-13
1534224600,16,Extreme Fear,2018-08-14
1534311000,18,Extreme Fear,2018-08-15
1534397400,21,Extreme Fear,2018-08-16
1534483800,19,Extreme Fear,2018-08-17
1534570200,24,Extreme Fear,2018-08-18
1534656600,27,Fear,2018-08-19
1534743000,26,Fear,2018-08-20
1534829400,19,Extreme Fear,2018-08-21
1534915800,21,Extreme Fear,2018-08-22
1535002200,18,Extreme Fear,2018-08-23
1535088600,19,Extreme Fear,2018-08-24
1535175000,22,Extreme Fear,2018-08-25
1535261400,19,Extreme Fear,2018-08-26
1535347800,18,Extreme Fear,2018-08-27
1535434200,19,Extreme Fear,2018-08-28
1535520600,19,Extreme Fear,2018-08-29
1535607000,22,Extreme Fear,2018-08-30
1535693400,17,Extreme Fear,2018-08-31
1535779800,21,Extreme Fear,2018-09-01
1535866200,18,Extreme Fear,2018-09-02
1535952600,19,Extreme Fear,2018-09-03
1536039000,26,Fear,2018-09-04
1536125400,17,Extreme Fear,2018-09-05
1536211800,14,Extreme Fear,2018-09-06
1536298200,17,Extreme Fear,2018-09-07
1536384600,18,Extreme Fear,2018-09-08
1536471000,13,Extreme Fear,2018-09-09
1536557400,15,Extreme Fear,2018-09-10
1536643800,18,Extreme Fear,2018-09-11
1536730200,14,Extreme Fear,2018-09-12
1536816600,20,Extreme Fear,2018-09-13
1536903000,23,Extreme Fear,2018-09-14
1536989400,24,Extreme Fear,2018-09-15
1537075800,28,Fear,2018-09-16
1537162200,25,Fear,2018-09-17
1537248600,21,Extreme Fear,2018-09-18
1537335000,24,Extreme Fear,2018-09-19
1537421400,24,Extreme Fear,2018-09-20
1537507800,31,Fear,2018-09-21
1537594200,35,Fear,2018-09-22
1537680600,38,Fear,2018-09-23
1537767000,43,Fear,2018-09-24
1537853400,37,Fear,2018-09-25
1537939800,37,Fear,2018-09-26
1538026200,42,Fear,2018-09-27
1538112600,42,Fear,2018-09-28
1538199000,37,Fear,2018-09-29
1538285400,34,Fear,2018-09-30
1538371800,35,Fear,2018-10-01
1538458200,33,Fear,2018-10-02
1538544600,36,Fear,2018-10-03
1538631000,29,Fear,2018-10-04
1538717400,37,Fear,2018-10-05
1538803800,34,Fear,2018-10-06
1538890200,29,Fear,2018-10-07
1538976600,26,Fear,2018-10-08
1539063000,31,Fear,2018-10-09
1539149400,28,Fear,2018-10-10
1539235800,19,Extreme Fear,2018-10-11
1539322200,13,Extreme Fear,2018-10-12
1539408600,15,Extreme Fear,2018-10-13
1539495000,18,Extreme Fear,2018-10-14
1539581400,20,Extreme Fear,2018-10-15
1539667800,24,Extreme Fear,2018-10-16
1539754200,23,Extreme Fear,2018-10-17
1539840600,26,Fear,2018-10-18
1539927000,24,Extreme Fear,2018-10-19
1540013400,21,Extreme Fear,2018-10-20
1540099800,21,Extreme Fear,2018-10-21
1540186200,27,Fear,2018-10-22
1540272600,24,Extreme Fear,2018-10-23
1540359000,23,Extreme Fear,2018-10-24
1540445400,25,Fear,2018-10-25
1540531800,29,Fear,2018-10-26
1540618200,33,Fear,2018-10-27
1540704600,35,Fear,2018-10-28
1540791000,34,Fear,2018-10-29
1540877400,31,Fear,2018-10-30
1540963800,32,Fear,2018-10-31
1541050200,29,Fear,2018-11-01
1541136600,36,Fear,2018-11-02
1541223000,36,Fear,2018-11-03
1541309400,41,Fear,2018-11-04
1541395800,42,Fear,2018-11-05
1541482200,42,Fear,2018-11-06
1541568600,48,Neutral,2018-11-07
1541655000,51,Neutral,2018-11-08
1541741400,47,Neutral,2018-11-09
1541827800,52,Neutral,2018-11-10
1541914200,54,Neutral,2018-11-11
1542000600,52,Neutral,2018-11-12
1542087000,56,Greed,2018-11-13
1542173400,49,Neutral,2018-11-14
1542259800,28,Fear,2018-11-15
1542346200,23,Extreme Fear,2018-11-16
1542432600,24,Extreme Fear,2018-11-17
1542519000,26,Fear,2018-11-18
1542605400,28,Fear,2018-11-19
1542691800,21,Extreme Fear,2018-11-20
1542778200,15,Extreme Fear,2018-11-21
1542864600,14,Extreme Fear,2018-11-22
1542951000,12,Extreme Fear,2018-11-23
1543037400,15,Extreme Fear,2018-11-24
1543123800,9,Extreme Fear,2018-11-25
1543210200,17,Extreme Fear,2018-11-26
1543296600,11,Extreme Fear,2018-11-27
1543383000,14,Extreme Fear,2018-11-28
1543469400,18,Extreme Fear,2018-11-29
1543555800,19,Extreme Fear,2018-11-30
1543642200,13,Extreme Fear,2018-12-01
1543728600,15,Extreme Fear,2018-12-02
1543815000,17,Extreme Fear,2018-12-03
1543901400,12,Extreme Fear,2018-12-04
1543987800,19,Extreme Fear,2018-12-05
1544074200,13,Extreme Fear,2018-12-06
1544160600,11,Extreme Fear,2018-12-07
1544247000,11,Extreme Fear,2018-12-08
1544333400,14,Extreme Fear,2018-12-09
1544419800,19,Extreme Fear,2018-12-10
1544506200,15,Extreme Fear,2018-12-11
1544592600,14,Extreme Fear,2018-12-12
1544679000,14,Extreme Fear,2018-12-13
1544765400,10,Extreme Fear,2018-12-14
1544851800,11,Extreme Fear,2018-12-15
1544938200,13,Extreme Fear,2018-12-16
1545024600,17,Extreme Fear,2018-12-17
1545111000,23,Extreme Fear,2018-12-18
1545197400,21,Extreme Fear,2018-12-19
1545283800,27,Fear,2018-12-20
1545370200,35,Fear,2018-12-21
1545456600,28,Fear,2018-12-22
1545543000,31,Fear,2018-12-23
1545629400,25,Fear,2018-12-24
1545715800,33,Fear,2018-12-25
1545802200,26,Fear,2018-12-26
1545888600,29,Fear,2018-12-27
1545975000,21,Extreme Fear,2018-12-28
1546061400,24,Extreme Fear,2018-12-29
1546147800,23,Extreme Fear,2018-12-30
1546234200,26,Fear,2018-12-31
1546320600,24,Extreme Fear,2019-01-01
1546407000,30,Fear,2019-01-02
1546493400,33,Fear,2019-01-03
1546579800,48,Neutral,2019-01-04
1546666200,36,Fear,2019-01-05
1546752600,31,Fear,2019-01-06
1546839000,39,Fear,2019-01-07
1546925400,39,Fear,2019-01-08
1547011800,42,Fear,2019-01-09
1547098200,37,Fear,2019-01-10
1547184600,19,Extreme Fear,2019-01-11
1547271000,22,Extreme Fear,2019-01-12
1547357400,21,Extreme Fear,2019-01-13
1547443800,16,Extreme Fear,2019-01-14
1547530200,27,Fear,2019-01-15
1547616600,24,Extreme Fear,2019-01-16
1547703000,28,Fear,2019-01-17
1547789400,29,Fear,2019-01-18
1547875800,31,Fear,2019-01-19
1547962200,35,Fear,2019-01-20
1548048600,30,Fear,2019-01-21
1548135000,27,Fear,2019-01-22
1548221400,33,Fear,2019-01-23
1548307800,37,Fear,2019-01-24
1548394200,35,Fear,2019-01-25
1548480600,41,Fear,2019-01-26
1548567000,39,Fear,2019-01-27
1548653400,35,Fear,2019-01-28
1548739800,21,Extreme Fear,2019-01-29
1548826200,22,Extreme Fear,2019-01-30
1548912600,17,Extreme Fear,2019-01-31
1548999000,23,Extreme Fear,2019-02-01
1549085400,22,Extreme Fear,2019-02-02
1549171800,19,Extreme Fear,2019-02-03
1549258200,27,Fear,2019-02-04
1549344600,21,Extreme Fear,2019-02-05
1549431000,14,Extreme Fear,2019-02-06
1549517400,18,Extreme Fear,2019-02-07
1549603800,37,Fear,2019-02-08
1549690200,42,Fear,2019-02-09
1549776600,40,Fear,2019-02-10
1549863000,46,Neutral,2019-02-11
1549949400,38,Fear,2019-02-12
1550035800,48,Neutral,2019-02-13
1550122200,48,Neutral,2019-02-14
1550208600,43,Fear,2019-02-15
1550295000,43,Fear,2019-02-16
1550381400,38,Fear,2019-02-17
1550467800,63,Greed,2019-02-18
1550554200,65,Greed,2019-02-19
1550640600,59,Greed,2019-02-20
1550727000,59,Greed,2019-02-21
1550813400,61,Greed,2019-02-22
1550899800,63,Greed,2019-02-23
1550986200,69,Greed,2019-02-24
1551072600,47,Neutral,2019-02-25
1551159000,40,Fear,2019-02-26
1551245400,39,Fear,2019-02-27
1551331800,39,Fear,2019-02-28
1551418200,42,Fear,2019-03-01
1551504600,41,Fear,2019-03-02
1551591000,44,Fear,2019-03-03
1551677400,36,Fear,2019-03-04
1551763800,35,Fear,2019-03-05
1551850200,42,Fear,2019-03-06
1551936600,56,Greed,2019-03-07
1552023000,54,Neutral,2019-03-08
1552109400,55,Greed,2019-03-09
1552195800,55,Greed,2019-03-10
1552282200,56,Greed,2019-03-11
1552368600,56,Greed,2019-03-12
1552455000,54,Neutral,2019-03-13
1552541400,55,Greed,2019-03-14
1552627800,55,Greed,2019-03-15
1552714200,54,Neutral,2019-03-16
1552800600,58,Greed,2019-03-17
1552887000,56,Greed,2019-03-18
1552973400,56,Greed,2019-03-19
1553059800,55,Greed,2019-03-20
1553146200,62,Greed,2019-03-21
1553232600,56,Greed,2019-03-22
1553319000,50,Neutral,2019-03-23
1553405400,44,Fear,2019-03-24
1553491800,46,Neutral,2019-03-25
1553578200,43,Fear,2019-03-26
1553664600,44,Fear,2019-03-27
1553751000,49,Neutral,2019-03-28
1553837400,50,Neutral,2019-03-29
1553923800,57,Greed,2019-03-30
1554010200,56,Greed,2019-03-31
1554096600,62,Greed,2019-04-01
1554183000,60,Greed,2019-04-02
1554269400,71,Greed,2019-04-03
1554355800,61,Greed,2019-04-04
1554442200,59,Greed,2019-04-05
1554528600,65,Greed,2019-04-06
1554615000,69,Greed,2019-04-07
1554701400,65,Greed,2019-04-08
1554787800,64,Greed,2019-04-09
1554874200,62,Greed,2019-04-10
1554960600,65,Greed,2019-04-11
1555047000,42,Fear,2019-04-12
1555133400,62,Greed,2019-04-13
1555219800,51,Neutral,2019-04-14
1555306200,60,Greed,2019-04-15
1555392600,50,Neutral,2019-04-16
1555479000,61,Greed,2019-04-17
1555565400,64,Greed,2019-04-18
1555651800,61,Greed,2019-04-19
1555738200,62,Greed,2019-04-20
1555824600,62,Greed,2019-04-21
1555911000,61,Greed,2019-04-22
1555997400,68,Greed,2019-04-23
1556083800,65,Greed,2019-04-24
1556170200,58,Greed,2019-04-25
1556256600,41,Fear,2019-04-26
1556343000,42,Fear,2019-04-27
1556429400,40,Fear,2019-04-28
1556515800,42,Fear,2019-04-29
1556602200,42,Fear,2019-04-30
1556688600,51,Neutral,2019-05-01
1556775000,50,Neutral,2019-05-02
1556861400,63,Greed,2019-05-03
1556947800,66,Greed,2019-05-04
1557034200,67,Greed,2019-05-05
1557120600,57,Greed,2019-05-06
1557207000,69,Greed,2019-05-07
1557293400,63,Greed,2019-05-08
1557379800,69,Greed,2019-05-09
1557466200,71,Greed,2019-05-10
1557552600,76,Extreme Greed,2019-05-11
1557639000,75,Extreme Greed,2019-05-12
1557725400,78,Extreme Greed,2019-05-13
1557811800,78,Extreme Greed,2019-05-14
1557898200,77,Extreme Greed,2019-05-15
1557984600,75,Extreme Greed,2019-05-16
1558071000,65,Greed,2019-05-17
1558157400,67,Greed,2019-05-18
1558243800,70,Greed,2019-05-19
1558330200,73,Greed,2019-05-20
1558416600,68,Greed,2019-05-21
1558503000,69,Greed,2019-05-22
1558589400,65,Greed,2019-05-23
1558675800,64,Greed,2019-05-24
1558762200,69,Greed,2019-05-25
1558848600,67,Greed,2019-05-26
1558935000,70,Greed,2019-05-27
1559021400,71,Greed,2019-05-28
1559107800,71,Greed,2019-05-29
1559194200,73,Greed,2019-05-30
1559280600,61,Greed,2019-05-31
1559367000,62,Greed,2019-06-01
1559453400,63,Greed,2019-06-02
1559539800,66,Greed,2019-06-03
1559626200,42,Fear,2019-06-04
1559712600,27,Fear,2019-06-05
1559799000,34,Fear,2019-06-06
1559885400,27,Fear,2019-06-07
1559971800,62,Greed,2019-06-08
1560058200,62,Greed,2019-06-09
1560144600,46,Neutral,2019-06-10
1560231000,61,Greed,2019-06-11
1560317400,60,Greed,2019-06-12
1560403800,63,Greed,2019-06-13
1560490200,67,Greed,2019-06-14
1560576600,75,Extreme Greed,2019-06-15
1560663000,80,Extreme Greed,2019-06-16
1560749400,84,Extreme Greed,2019-06-17
1560835800,83,Extreme Greed,2019-06-18
1560922200,82,Extreme Greed,2019-06-19
1561008600,81,Extreme Greed,2019-06-20
1561095000,84,Extreme Greed,2019-06-21
1561181400,83,Extreme Greed,2019-06-22
1561267800,84,Extreme Greed,2019-06-23
1561354200,80,Extreme Greed,2019-06-24
1561440600,87,Extreme Greed,2019-06-25
1561527000,95,Extreme Greed,2019-06-26
1561613400,92,Extreme Greed,2019-06-27
1561699800,62,Greed,2019-06-28
1561786200,74,Greed,2019-06-29
1561872600,78,Extreme Greed,2019-06-30
1561959000,65,Greed,2019-07-01
1562045400,63,Greed,2019-07-02
1562131800,79,Extreme Greed,2019-07-03
1562218200,76,Extreme Greed,2019-07-04
1562304600,67,Greed,2019-07-05
1562391000,72,Greed,2019-07-06
1562477400,67,Greed,2019-07-07
1562563800,74,Greed,2019-07-08
1562650200,84,Extreme Greed,2019-07-09
1562736600,83,Extreme Greed,2019-07-10
1562823000,62,Greed,2019-07-11
1562909400,33,Fear,2019-07-12
1562995800,65,Greed,2019-07-13
1563082200,61,Greed,2019-07-14
1563168600,16,Extreme Fear,2019-07-15
1563255000,34,Fear,2019-07-16
1563341400,19,Extreme Fear,2019-07-17
1563427800,40,Fear,2019-07-18
1563514200,42,Fear,2019-07-19
1563600600,34,Fear,2019-07-20
1563687000,42,Fear,2019-07-21
1563773400,42,Fear,2019-07-22
1563859800,40,Fear,2019-07-23
1563946200,20,Extreme Fear,2019-07-24
1564032600,42,Fear,2019-07-25
1564119000,24,Extreme Fear,2019-07-26
1564205400,47,Neutral,2019-07-27
1564291800,16,Extreme Fear,2019-07-28
1564378200,19,Extreme Fear,2019-07-29
1564464600,22,Extreme Fear,2019-07-30
1564551000,31,Fear,2019-07-31
1564637400,57,Greed,2019-08-01
1564723800,61,Greed,2019-08-02
1564810200,61,Greed,2019-08-03
1564896600,62,Greed,2019-08-04
1564983000,64,Greed,2019-08-05
1565069400,66,Greed,2019-08-06
1565155800,45,Neutral,2019-08-07
1565242200,61,Greed,2019-08-08
1565328600,60,Greed,2019-08-09
1565415000,59,Greed,2019-08-10
1565501400,45,Neutral,2019-08-11
1565587800,48,Neutral,2019-08-12
1565674200,45,Neutral,2019-08-13
1565760600,11,Extreme Fear,2019-08-14
1565847000,13,Extreme Fear,2019-08-15
1565933400,31,Fear,2019-08-16
1566019800,20,Extreme Fear,2019-08-17
1566106200,14,Extreme Fear,2019-08-18
1566192600,30,Fear,2019-08-19
1566279000,39,Fear,2019-08-20
1566365400,11,Extreme Fear,2019-08-21
1566451800,5,Extreme Fear,2019-08-22
1566538200,33,Fear,2019-08-23
1566624600,39,Fear,2019-08-24
1566711000,33,Fear,2019-08-25
1566797400,41,Fear,2019-08-26
1566883800,30,Fear,2019-08-27
1566970200,32,Fear,2019-08-28
1567056600,20,Extreme Fear,2019-08-29
1567143000,24,Extreme Fear,2019-08-30
1567229400,20,Extreme Fear,2019-08-31
1567315800,24,Extreme Fear,2019-09-01
1567402200,28,Fear,2019-09-02
1567488600,41,Fear,2019-09-03
1567575000,43,Fear,2019-09-04
1567661400,41,Fear,2019-09-05
1567747800,43,Fear,2019-09-06
1567834200,39,Fear,2019-09-07
1567920600,43,Fear,2019-09-08
1568007000,41,Fear,2019-09-09
1568093400,41,Fear,2019-09-10
1568179800,38,Fear,2019-09-11
1568266200,39,Fear,2019-09-12
1568352600,38,Fear,2019-09-13
1568439000,39,Fear,2019-09-14
1568525400,38,Fear,2019-09-15
1568611800,38,Fear,2019-09-16
1568698200,41,Fear,2019-09-17
1568784600,38,Fear,2019-09-18
1568871000,31,Fear,2019-09-19
1568957400,41,Fear,2019-09-20
1569043800,37,Fear,2019-09-21
1569130200,37,Fear,2019-09-22
1569216600,41,Fear,2019-09-23
1569303000,39,Fear,2019-09-24
1569389400,15,Extreme Fear,2019-09-25
1569475800,12,Extreme Fear,2019-09-26
1569562200,24,Extreme Fear,2019-09-27
1569648600,32,Fear,2019-09-28
1569735000,33,Fear,2019-09-29
1569821400,27,Fear,2019-09-30
1569907800,38,Fear,2019-10-01
1569994200,39,Fear,2019-10-02
1570080600,37,Fear,2019-10-03
1570167000,30,Fear,2019-10-04
1570253400,31,Fear,2019-10-05
1570339800,32,Fear,2019-10-06
1570426200,27,Fear,2019-10-07
1570512600,39,Fear,2019-10-08
1570599000,37,Fear,2019-10-09
1570685400,41,Fear,2019-10-10
1570771800,39,Fear,2019-10-11
1570858200,38,Fear,2019-10-12
1570944600,38,Fear,2019-10-13
1571031000,37,Fear,2019-10-14
1571117400,39,Fear,2019-10-15
1571203800,40,Fear,2019-10-16
1571290200,40,Fear,2019-10-17
1571376600,40,Fear,2019-10-18
1571463000,41,Fear,2019-10-19
1571549400,37,Fear,2019-10-20
1571635800,37,Fear,2019-10-21
1571722200,39,Fear,2019-10-22
1571808600,33,Fear,2019-10-23
1571895000,20,Extreme Fear,2019-10-24
1571981400,24,Extreme Fear,2019-10-25
1572067800,53,Neutral,2019-10-26
1572154200,50,Neutral,2019-10-27
1572240600,52,Neutral,2019-10-28
1572327000,54,Neutral,2019-10-29
1572413400,53,Neutral,2019-10-30
1572499800,50,Neutral,2019-10-31
1572586200,49,Neutral,2019-11-01
1572672600,51,Neutral,2019-11-02
1572759000,56,Greed,2019-11-03
1572845400,49,Neutral,2019-11-04
1572931800,54,Neutral,2019-11-05
1573018200,53,Neutral,2019-11-06
1573104600,54,Neutral,2019-11-07
1573191000,42,Fear,2019-11-08
1573277400,38,Fear,2019-11-09
1573363800,39,Fear,2019-11-10
1573450200,40,Fear,2019-11-11
1573536600,39,Fear,2019-11-12
1573623000,38,Fear,2019-11-13
1573709400,41,Fear,2019-11-14
1573795800,38,Fear,2019-11-15
1573882200,41,Fear,2019-11-16
1573968600,38,Fear,2019-11-17
1574055000,38,Fear,2019-11-18
1574141400,32,Fear,2019-11-19
1574227800,32,Fear,2019-11-20
1574314200,30,Fear,2019-11-21
1574400600,20,Extreme Fear,2019-11-22
1574487000,23,Extreme Fear,2019-11-23
1574573400,21,Extreme Fear,2019-11-24
1574659800,17,Extreme Fear,2019-11-25
1574746200,21,Extreme Fear,2019-11-26
1574832600,20,Extreme Fear,2019-11-27
1574919000,32,Fear,2019-11-28
1575005400,31,Fear,2019-11-29
1575091800,38,Fear,2019-11-30
1575178200,25,Fear,2019-12-01
1575264600,28,Fear,2019-12-02
1575351000,28,Fear,2019-12-03
1575437400,24,Extreme Fear,2019-12-04
1575523800,21,Extreme Fear,2019-12-05
1575610200,29,Fear,2019-12-06
1575696600,32,Fear,2019-12-07
1575783000,28,Fear,2019-12-08
1575869400,32,Fear,2019-12-09
1575955800,26,Fear,2019-12-10
1576042200,20,Extreme Fear,2019-12-11
1576128600,23,Extreme Fear,2019-12-12
1576215000,22,Extreme Fear,2019-12-13
1576301400,27,Fear,2019-12-14
1576387800,21,Extreme Fear,2019-12-15
1576474200,24,Extreme Fear,2019-12-16
1576560600,23,Extreme Fear,2019-12-17
1576647000,15,Extreme Fear,2019-12-18
1576733400,21,Extreme Fear,2019-12-19
1576819800,23,Extreme Fear,2019-12-20
1576906200,23,Extreme Fear,2019-12-21
1576992600,20,Extreme Fear,2019-12-22
1577079000,33,Fear,2019-12-23
1577165400,25,Fear,2019-12-24
1577251800,22,Extreme Fear,2019-12-25
1577338200,39,Fear,2019-12-26
1577424600,38,Fear,2019-12-27
1577511000,37,Fear,2019-12-28
1577597400,37,Fear,2019-12-29
1577683800,40,Fear,2019-12-30
1577770200,38,Fear,2019-12-31
1577856600,37,Fear,2020-01-01
1577943000,39,Fear,2020-01-02
1578029400,38,Fear,2020-01-03
1578115800,38,Fear,2020-01-04
1578202200,39,Fear,2020-01-05
1578288600,41,Fear,2020-01-06
1578375000,40,Fear,2020-01-07
1578461400,51,Neutral,2020-01-08
1578547800,44,Fear,2020-01-09
1578634200,41,Fear,2020-01-10
1578720600,50,Neutral,2020-01-11
1578807000,45,Neutral,2020-01-12
1578893400,49,Neutral,2020-01-13
1578979800,56,Greed,2020-01-14
1579066200,54,Neutral,2020-01-15
1579152600,55,Greed,2020-01-16
1579239000,54,Neutral,2020-01-17
1579325400,51,Neutral,2020-01-18
1579411800,53,Neutral,2020-01-19
1579498200,48,Neutral,2020-01-20
1579584600,49,Neutral,2020-01-21
1579671000,52,Neutral,2020-01-22
1579757400,49,Neutral,2020-01-23
1579843800,40,Fear,2020-01-24
1579930200,41,Fear,2020-01-25
1580016600,42,Fear,2020-01-26
1580103000,50,Neutral,2020-01-27
1580189400,54,Neutral,2020-01-28
1580275800,57,Greed,2020-01-29
